	eng	cmn
28414	Your prophecy has come true.	你的预言成真了。
15222	I'm going to miss Tom so much.	我会很想汤姆。
26753	How much does this cost?	这个几块？
16018	Thank you very much for your present.	非常谢谢你的礼物。
16627	How can Tom not understand that?	湯姆怎麼能不懂？
28244	I like red wine better than white wine.	我喜歡紅葡萄酒勝過白葡萄酒。
9006	A card was attached to the gift.	一張卡片被附在了禮物上。
23677	She wrote 5 novels in 5 years.	她在5年里写了5本小说。
6672	My opinion differs from yours.	我的想法和你的不一样。
2214	That hat cost around fifty dollars.	那頂帽子花費了大約五十美元。
20823	School begins at half past eight.	學校八點半開始上課。
7617	It isn't necessary for us to attend this lecture.	我們沒有必要出席這個講座。
5040	English is studied all over the world.	世界各地都讀英語。
25647	What makes you think I won't be able to do it?	你怎么认为我做不了？
10381	You can lie to everyone else, but you can't lie to yourself.	你可以向别人撒谎，但你不会向自己撒谎。
3185	I had some calls to make.	我要打几个电话。
15409	I am a college student.	我是一名大学生。
18886	Please pick me up at the airport at five.	請於五點鐘到機場接我。
13085	He sent the letter back unopened.	他把那封信原封不動寄回去了。
26998	He spent his sixtieth birthday in the hospital.	他在医院里过了他的六十岁生日。
543	My son always gets sick when he rides a bus.	我的儿子每次乘坐公交车都会晕车。
19105	Tom isn't the only one here who's a good singer.	汤姆不是这里唯一的好歌手。
28334	It seems that the only time he isn't eating is when he's sleeping.	看来他只有在睡觉时不吃东西。
11288	I did nothing out of the ordinary.	我沒做什麼與眾不同的事。
14595	Later he wrote to the president.	他后来写信给总统。
4588	I'll let Tom tell you.	我会让汤姆告诉你。
25069	She worked from morning till night.	她從早上工作到夜晚。
12798	Tom mopped the floor.	汤姆擦了地板。
21893	The bell rings at eight.	鈴聲在八點鐘響起。
9816	I am pleased with his work.	對於他的工作我很滿意。
15317	Perhaps I'll be able to help you.	我可能能幫你。
18801	I have to say no.	我必须拒绝。
24331	You remind me of a boy I used to know.	你让我想起我过去认识的一个男孩。
13632	That isn't altogether false.	那不全是錯的。
22827	My mother is a good woman.	我媽媽是個好女人。
7159	Can I use my medical insurance?	我可以使用我的醫療保險嗎？
14443	What time will you leave?	你什麼時候離開？
5457	It is close to eleven. It's about time we went to bed.	快11点了。我们该上床睡觉了。
7026	Did you get my letter?	你收到了我发的邮件了吗？
7350	You should apologize to your father for not getting home in time for dinner.	你應該為你沒有及時回家吃晚餐向你父親道歉。
9776	That's quite meaningless.	这毫无意义。
14565	Tom was in Boston last weekend.	湯姆上週末在波士頓。
17459	Will you play tennis after school?	你放學後會去打網球嗎？
22795	I got a letter from her today.	我今天收到了她的信。
17973	Their cattle are all fat.	他們的牛都很肥。
13996	Tom can run fast.	Tom可以跑得很快。
9702	What's your natural hair color?	你的头发自然发色是什么颜色？
2886	I am staying with my uncle in Tokyo.	我待在東京的叔叔家。
24516	I finally persuaded him to buy it.	我終於說服了他買它。
15869	Have you ever gotten food poisoning?	您曾經食物中毒過嗎？
27559	Yes, of course.	当然是的。
6152	I know that you've been waiting a long time, but could you wait just a little bit longer?	我知道你已经等很久了，但你能再等一小会吗？
25067	You should have come earlier.	你應該早點來的。
24436	My shoes are bigger than yours.	我的鞋比你的大。
29172	I want to see you again.	我希望再次見到你。
23011	Let's eat while the food is warm.	讓我們趁熱吃吧。
16193	I haven't yet watched that video.	我还没看过那段视频。
14673	I think this book is easy.	我觉得这本书很简单。
27588	The sun rose over the horizon.	太陽升出了地平線。
2172	I often went fishing with him.	我經常和他去釣魚。
1086	Tom wrote Mary a long letter, but he didn't send it to her.	汤姆给玛丽写了封长信，可是没有寄给她。
24732	We will make the payment by bank transfer.	我们会用银行转帐付款。
154	I have been in Japan for two months.	我在日本已經兩個月了。
9252	What did you want us to do?	你要我们做什么？
18031	I got her to clean my room.	我讓她把我的房間弄乾淨。
2112	Tom is more famous than you.	湯姆比你有名氣。
1697	I've been here for a long time.	我在這裡很長一段時間了。
8384	Justice will prevail in the end.	正义终将胜利。
21007	Say hello to your father for me.	代我向你父親問好。
27088	He is no longer a boy.	他不再是个男孩。
25356	Farmers always complain about the weather.	农民总是抱怨天气。
18962	He will reach Hakodate tonight.	他今晚將抵達函館。
18387	I know you hired Tom.	我知道你僱了湯姆。
8281	I wrote down his phone number.	我記下了他的電話號碼。
20583	How many languages can you speak?	你會說多少種語言?
23442	The Amazon is fed by a large number of tributaries.	亚马逊河有很多支流。
19959	It's a matter of life and death.	这是一个生和死的问题。
6300	He stopped reading the newspaper.	他停止了读报。
8481	He married a stewardess.	他娶了一个空姐。
8298	I've had enough.	我已經吃飽了。
10323	Tom needs to go to the hospital.	汤姆必须去医院。
6620	I don't know where he comes from.	我不知道他從哪裡來。
6324	You gave me the wrong change.	你找錯了零錢給我。
2347	Very few people live to be 100.	很少人活到100岁。
27182	I've been spending too much time with Tom.	我在湯姆身上花的時間太多了。
1189	Tom isn't a very good driver.	湯姆不是一個好司機。
27111	Is there anything you can do?	有什么事是你能做的吗？
11997	She identified him as the murderer.	她確認他是殺人兇手。
16134	He bought the land for the purpose of building a house on it.	他买土地目的是要造房子。
9680	Tom has more books than Mary.	湯姆的書比瑪麗的還多。
27917	It tastes really good.	它的滋味真的很好。
14719	He wants a book to read.	他想找本書來讀。
27266	I would like to go home now.	我現在想回家了。
391	Pride comes before a fall.	骄兵必败。
13112	I'm sorry I was so rude.	對不起，我太無理了。
20896	There's been a death in his family.	他的家不幸有人身亡。
7228	Tom, your life's in danger.	湯姆，你的生命有危險。
26318	What illness do I have?	我得了什麼病？
14009	We depend on you.	我们可全靠你了。
22398	Tom isn't a racist.	汤姆不是种族主义者。
19451	You made me laugh.	我被你逗乐了。
4063	I had to stay in bed all day.	我不得不一整天都呆在床上。
28713	When the phone rang, he ran to answer it.	電話響起時，他跑去接起。
16114	I intend to go to the barbershop.	我打算去理髮店。
20381	Where are you planning to stay?	你打算在哪裡留宿？
4581	The world is changing every minute.	世界每一分鐘都在改變。
21301	Tom can't go out because he has a lot of homework.	汤姆因为有很多作业不能外出。
7939	She took care of the children.	她照顧孩子。
28384	He jumped onto the table.	他跳上了桌子。
14564	I don't drink coffee at all.	我一点咖啡也不喝。
15379	The cake is delicious.	蛋糕很美味。
14940	Attack is the best form of defense.	進攻是最好的防禦。
13308	"""What should I do?"" I said to myself."	“我该做什么呢？”我自言自语道。
17728	The ozone in the stratosphere absorbs ultraviolet radiation.	平流層的臭氧會吸收紫外線。
5062	You don't have to raise your voice.	您不需要提高音量。
866	She was aching all over.	她全身都疼。
2883	There's no film in this camera.	這個相機裡沒有膠片。
8834	War broke out in 1941.	战争于1941年爆发。
28187	He removed his shirt.	他把衬衫脱了。
3095	I can seldom find time for reading.	我很少能抽出时间看书。
20131	Where is the bus stop for downtown?	到市區的公車站牌在哪裡？
28165	Can you imagine walking around on the moon?	你可以想象在月球上行走吗？
24905	The policeman lifted the box carefully.	警察小心翼翼地抬起箱子。
29103	My father works at the factory.	我父亲在工厂工作。
18087	Who is your teacher?	谁是你老师？
3000	Why did you say such a thing?	你為什麼說了這樣的事?
7317	She really wants to lose weight.	她真的想減肥。
10124	Ask him where he parked his car.	問問他把他的車停在那裡。
4185	There's something weird happening.	正有什么奇怪的事情发生着。
14308	Tom gave Mary that nickname.	汤姆给玛丽起的外号。
7564	He wrote one letter.	他写了一封信。
7459	I will go on ahead.	我會繼續前進。
28937	I don't know whether it's good or not.	我不知道它是好是坏。
3756	It has nothing to do with you.	不關你的事。
8411	I don't like summer.	我不喜欢夏天。
16891	Are you finished with your work?	你完成你的工作了吗？
10804	Their goods are of the highest quality.	他们的货品有着最高的品质。
765	I bought a good camera.	我買了一台不錯的照相機。
24308	I'm sure Tom wanted to come along.	我确定汤姆想来。
24913	I was expecting it!	我一直在期待着！
8461	He walked in the park yesterday.	他昨天在公園裡散步。
26722	I agree with Tom a hundred percent.	我百分之百同意Tom。
28389	Tom wears a hat every day.	Tom每天都戴帽子。
8630	She ironed her shirt.	她熨了衬衫。
1480	Everybody likes to goof off.	所有人都喜欢偷懒。
20454	He is giving his whole attention to that.	他全神贯注。
1185	My hands and legs are swollen.	我的手和腳都腫了。
13978	Do you know what I'm doing?	你知道我在做什麼嗎？
10438	He left the book on the table.	他在桌子上留下了這本書。
2089	Their trip was postponed because of the rain.	他们的旅行因为下雨延期了。
15986	Life without love is just totally pointless.	没有爱情的生活毫无意义。
17644	I've been here a long time.	我在這裡很長一段時間了。
20334	We must keep up the family traditions.	我们必须保持家庭传统。
5267	What did you have for lunch?	你们午饭吃了什么？
20567	You are a friend of Tom's, aren't you?	你是湯姆的朋友，不是嗎？
15791	Will you buy something?	你要买点东西吗？
24048	I don't regret it.	我不後悔。
76	Thanks for coming over tonight.	謝謝您今晚的光臨。
19103	The sky was clear when I left home.	当我离开家的时候天空很明朗。
18082	This train leaves at nine o'clock.	這班火車九點鐘發車。
1913	He received quite a few letters this morning.	今天早上他收到好多信。
7885	Tom's uncle keeps a lot of sheep.	湯姆的叔叔養了很多羊。
2947	It's a surprise.	这是一个惊喜。
23937	The girl was sobbing in the corner of the schoolroom.	女孩在教室的角落啜泣。
11518	His request is as follows.	他的要求如下。
16745	I don't wish to harm you.	我不想傷害你。
27456	You can't drink seawater because it's too salty.	你不能喝海水，因为它太咸了。
13385	Where is the nearest police station?	最近的警察局在哪裡?
18482	Part of his story is true.	他的故事一部分是真的。
22400	Did you just get to know him?	你是不是刚认识他？
4698	If you don't hurry, you'll miss the last train.	再不快点你就要赶不上末班车了。
21298	We can't give up.	我们不能放弃。
2303	You should have accepted his advice.	你本应该接受他的建议。
2859	During the Depression in the 1930's, many wealthy people lost everything in the stock market crash.	在十九世纪三十年代的大萧条时期，许多富人在股市崩盘中失去了一切。
28575	Wake me up early tomorrow morning.	明天早上早點叫醒我。
23185	He had to clean his room.	他不得不打扫了他的房间。
23278	I bumped into him at the station.	我在車站碰到他。
161	I don't like going to school.	我不喜欢上学。
21010	John is two years older than me.	John比我大两岁。
17277	I want to breathe some fresh air.	我想呼吸一下新鮮空氣。
19164	I didn't sing.	我沒唱歌。
9817	You are taller than she is.	你比她要高。
20208	We don't have time to argue.	我們沒有時間來辯論。
14493	Everybody but Tom knew that he didn't need to do that.	除了汤姆以外任何人都知道他没必要这么做。
10553	I'll stay at home tomorrow.	明天我会呆在家里。
8971	Your time is running out.	你的时间快用完了。
29101	Tom made me do it.	是汤姆让我做的。
8168	Do you think he is good for the position?	你认为他适合这个职位吗？
9826	We can't sit idly by.	我們不能光坐著。
5577	I think we should lower the price.	我觉得我们得调低价格。
10073	Should I wash the lettuce?	我應該洗萵苣嗎？
17182	What do you have in your bag?	你的袋子裡有什麼？
6701	My brother is not as tall as I was two years ago.	我弟弟没我两年前高。
22925	She got on the subway at Ginza.	她在銀座搭乘了地鐵。
15365	That rumor soon spread.	那个谣言很快传播开来。
778	She opened the letter quickly.	她很快地打開了信。
5825	Carrots contain a lot of vitamin A.	胡蘿蔔中含有大量的維生素A。
18844	My purse was stolen.	我的錢包被搶了。
17635	What would you like?	你想要甚麼？
1777	Did you get the package I sent you?	你收到我寄給你的包裹了嗎？
21693	Tom went down the hill.	汤姆走下山坡。
17041	There was no money for rebuilding.	沒有重建的錢。
7590	I want a quart of milk.	我要一夸脫的牛奶。
13366	Tom played with his dog.	汤姆和他的狗玩。
14231	Tom hid in the shed.	汤姆躲在棚里。
29278	There is no answer to your question.	你的问题没有答案。
2796	We tried to compromise with them.	我們試著和他們妥協。
5355	There was hardly anyone in the room.	房間裡幾乎沒有人。
24907	Let me buy you another one.	我给你再买一个吧。
17851	He had no luck in finding work.	他找工作不走運。
28215	Tom has no money.	Tom沒有錢。
14266	How much does it cost?	这个几块？
2710	Today is my treat.	今天是我请客。
22951	Can I carry this on the plane?	我能把这个东西带到飞机上吗？
86	I'll miss you so much.	我會非常想念你。
26851	He lived here for a time.	他在这儿住了有一段时间了。
16614	I was thinking the same thing.	我也是這麼想的。
10115	Tofu goes well with good sake.	豆腐配清酒很合適。
15991	The service here is awful.	這裡的服務很糟糕。
10839	I'll stake my reputation on it.	我赌上我的名声。
24720	I worked a lot this week.	我这周干了很多活。
28308	I am terribly hungry.	我肚子饿极了。
9762	May I come and see you now?	我現在可以來看看你嗎？
15616	This theory is very controversial.	这个理论很有争议。
150	Wash your face and hands.	洗你的臉和手。
14605	But that's not the real problem.	可那不是真正的问题所在。
10129	Give me your sandwich.	把你的三明治給我。
29274	When did you begin to learn English?	您什么时候开始学英语的？
23025	I love my country.	我爱我的祖国。
24143	This is a Chinese restaurant.	这是家中国餐厅。
24558	I don't have any other questions.	我没有别的问题了。
19324	When he finished speaking, everyone was silent.	他发言完后，大家陷入了沉默。
2743	He worked too hard, and became sick.	他工作得太多，病倒了。
22860	Promises are made to be broken.	诺言就是用来打破的。
16898	I don't know who made the cake.	我不知道這個蛋糕是誰做的。
26933	Do you think I'm crazy?	你认为我疯了吗？
2586	Please move the desk to the left.	请把桌子向左移。
15849	Don't you know that?	你不知道那件事吗？
19587	I'm accustomed to getting up early.	我習慣早起。
17128	He went to Italy in order to study music.	為了研讀音樂他去了義大利。
4289	I can't believe you're giving up.	我不能相信你要放弃。
1297	At that moment, time seemed to stand still.	那一刻，时间仿佛静止了。
3069	He has gone to Italy to study music.	他已經去義大利學習音樂了。
20262	Something must be wrong with the machinery.	這個機器一定有什麼地方不對勁。
11022	I don't know any of them.	他们中的任何一位我都不认识。
22687	It's really hot here in the summer.	这里夏天非常热。
27795	I'm sore all over.	我全身酸痛。
14334	What're you saying?	你在说什么呢？
20263	The door is locked at nine o'clock.	九點鐘鎖門。
14291	I've still got things to do.	我还有点事。
25595	I'll call you.	我会打电话给你。
8766	I have been to Rome.	我去过罗马。
16239	My father has been in good shape since his operation.	自从手术后，我父亲一直处于良好的状态。
2993	Do you have a smartphone?	你有手機嗎？
12971	Tom nearly died tonight.	汤姆昨晚差点死了。
29091	She asked him to mail that letter.	她請他寄那封信。
472	It isn't a bug. It's an undocumented feature.	这不是一个漏洞，而是一个没有写进文档的特性。
746	He used to get up early.	他以前很早起床。
12972	Everyone knew that Tom's French was good.	每个人都知道汤姆的法语很好。
10858	Both Tom and Mary can speak French.	汤姆和玛丽两个人都会说法语。
12809	It snowed for ten consecutive days.	雪持续下了十天。
13900	There is a fence around the house.	這棟房子的周圍有籬笆。
27313	It's quarter to eight now.	现在是7点45分。
5674	She's good at getting around rules.	她擅於逃避規則。
1404	Tom always seems to be working.	湯姆看來總是在工作。
28737	We were faced with an unusual situation because of the accident.	那场事故让我们陷入了不寻常的局势。
16997	Lots of companies have implemented an eight-hour working day.	很多公司實行8小時工作制。
10639	All the students clapped their hands.	所有的學生都拍手。
20878	It's hot today, isn't it?	今天很熱，不是嗎?
1161	What language do you think this is?	你觉得这是哪种语言？
11201	There were two pieces of cake.	那有两块蛋糕。
22762	People love to talk.	人們就是愛說話。
26936	Cover your head when you are in the sun.	當你在陽光下的時候，遮住你的頭。
8529	I tried very hard to put an end to their heated argument.	我努力地平息他們不斷加溫的爭執。
22782	We make milk into cheese and butter.	我們把牛奶製成乳酪和奶油。
13279	She is aged seventeen.	她十七岁了。
15271	I saw a horse pulling a cart.	我看見一匹馬拉著一架馬車。
21128	We've been going out three months.	我們交往了三個月。
415	The talks will last three days.	这场谈话将要持续三天。
7917	May I run with you?	我可以跟你一起跑嗎？
9067	I really like puppies.	我非常喜欢小狗。
27114	He made a journey around the world.	他環遊世界旅行。
1327	The magazine is issued twice a month.	這份雜誌每個月出刊兩次。
10017	Tom is the richest guy I know.	汤姆是我所知道的最有钱的家伙。
22393	Tom is already used to that.	汤姆已经习惯了。
2183	Do you want to buy something?	你要买点东西吗？
16347	There were no more free seats.	没有更多免费座位了。
7791	She spends her leisure time making dolls.	她利用空闲时间做布娃娃。
10584	I have a computer.	我有一台电脑。
20814	Tom told me that he thought that Mary used to live in Boston.	汤姆告诉我他觉得玛丽以前住在波士顿。
13017	Do you have paper?	你们有没有纸？
3579	He is known as a great poet.	他以一個偉大的詩人聞名。
17037	She gave it her personal attention.	她親自過問了此事。
19136	We go fishing from time to time.	我们时不时地去钓鱼。
6888	Tom doesn't like this color.	汤姆不喜欢这种颜色。
341	My brother can drive a car.	我哥哥會開車。
11107	I made it myself.	我自己做的。
7634	You might want to discuss it with Tom.	你或许想和汤姆讨论一下。
22494	He grows tomatoes in his garden.	他在他的花園種番茄。
5399	He has dozens of books about Japan.	他有幾十本關於日本的書。
8560	I have to renew my passport.	我必须更新我的护照。
16298	Are you coming next week?	你下週來嗎？
8047	Did you ever try?	你试过吗？
28211	What kind of wine do you have?	您有什麼樣的葡萄酒？
23343	I didn't see anybody.	我什麼人都沒看見。
15028	I don't care what they say.	我不在乎他們說什麼。
20014	Almost all the doors were closed.	幾乎所有門都關了。
12425	I took it for granted that you were on my side.	我理所當然認為你會站在我這邊。
6909	I'm afraid that there isn't any coffee left.	恐怕已經沒有咖啡了。
21376	Where did you go last Sunday?	上周日您去哪儿了？
23219	I don't want to buy a newspaper today.	我今天不想买报纸。
10640	He promised me he would be here at six.	他答應我六點鐘的時候他會在這裡。
15910	Her hair grew back.	她的頭髮長回來了。
11294	How far is it to the airport?	到机场有多远？
26443	It's time for bed.	睡觉时间到了。
29176	He asked that we be silent.	他要求我們安靜。
17765	I don't have a lot of work, but it's enough to keep me in the office this week.	其实我工作并不多，但足以让我这周在办公室里忙着了。
13907	If Tom can't tell me, then no one can.	如果湯姆不能告訴我，就沒人能了。
16076	I was surprised to see a lion.	我很驚訝竟然看到了獅子。
18354	Were you on time for work today?	你今天準時上班了嗎？
1043	Can you please give me something to do?	请问你能给我点事做吗？
554	You only have two options.	你只有两个选项。
25440	I like to watch baseball games.	我喜歡看棒球比賽。
15715	Tom can't remember anything.	汤姆什么都记不住。
18698	The mountain was covered with snow.	這座山被雪覆蓋著。
16886	How much sugar should I put in your coffee?	我应该往你的咖啡里放多少糖呢？
8825	The top of the mountain is covered in snow.	山顶被雪覆盖了。
27766	What's your mother tongue?	你的母语是什么？
28995	We often hear you sing.	我们经常听到你唱歌。
16667	We'll begin tomorrow morning.	我們明天上午開始。
21564	I studied French when I was in high school.	我上高中的时候学过法语。
471	This dictionary is my sister's.	這本字典是我妹妹的。
20691	I didn't know you didn't know how to swim.	我不知道你不會游泳。
22452	I'm fed up with this.	这我受够了。
2780	He sang some old songs.	他唱了些老歌。
21425	This coat fits you perfectly.	這件大衣十分適合你。
23909	Tom is a good guy.	Tom是一個好人。
25097	She fainted when she saw blood.	她看见血就晕了。
1886	I'm not one hundred percent convinced of that.	我不是百分之百确定。
4848	Mary is very cute, isn't she?	马力很可爱，不是么？
22453	I think Tom's an idiot.	我想汤姆是个蠢材。
15820	Tom put his keys in his pocket.	湯姆把鑰匙放在口袋裡。
11812	Don't try my patience.	別挑戰我的耐心。
28113	He witnessed the murder.	他目睹了謀殺案。
19963	Do you eat meat?	您吃不吃肉？
24120	I wonder if he'll come tonight.	我不知道他今晚會不會來。
3633	He majored in drama at college.	他在大學主修戲劇。
6415	I am not stupid.	我不是笨蛋。
24219	Where are your things?	你們的東西在哪裡？
25555	Something strange is happening.	正有什么奇怪的事情发生着。
22318	What number bus do I take to get to Waikiki?	我乘几路车去怀基基？
25538	Please show me what to do next.	請告訴我下一步該做什麼。
20256	It is just your imagination.	这仅是你的想像而已。
8980	He got a master's degree in law.	他得到了法律碩士學位。
21617	It's not at all easy.	这一点都不容易。
992	Who does the cooking in your home?	你家里谁做饭？
22043	I think so, too.	我也是這麼想的。
12576	It has nothing to do with me.	它跟我没关系。
13301	I prefer spring to fall.	我喜歡春天勝過秋天。
19057	What do we do now?	我们现在怎么办？
24160	Tom remained a bachelor until his death.	汤姆终身未娶。
13357	It's only a dream.	只是一场梦罢了。
1107	It would appear that you're wrong.	你似乎错了。
7653	Tom is going to run for mayor.	汤姆要竞选市长。
977	I'd love to find out why she said so.	我很想找出她为什么这么说的原因。
12587	Don't forget who you are.	別忘了你是誰。
24532	Tom went there to learn French.	汤姆去那里学法语。
5464	She used to play tennis on Sunday.	她以前在週日打網球。
14574	He is different from what he used to be.	他和從前不一樣。
13230	He is from France.	他是从法国来的。
409	Was that what Tom said?	那就是汤姆说的吗？
29335	I also had a very good time.	我也过得很愉快。
25702	Please stop that right now.	请即刻停止。
1904	The price of gas is rising.	天然氣的價格上升。
12354	They sued the government for damages.	他們狀告政府賠償損失。
18571	Do you think you could make a little less noise?	你觉得你能少发点噪音吗？
6452	Japan is famous for Mt. Fuji.	日本以富士山聞名。
1615	He threatened to make it public.	他威胁要公开。
18500	How much money have you got?	你有多少钱？
26578	The children go to school in the morning.	孩子们早上去学校。
11132	When I was your age, Pluto was a planet.	我在你这个年纪的时候，冥王星是一颗行星。
19331	You don't have to stay in the hospital.	你不必要呆在医院。
6694	I've had just about enough of her.	我真的受夠了她。
8808	I love you more than you love me.	我愛你多於你愛我。
14391	I know all my neighbors.	我认识我所有的邻居。
27138	These paintings are different sizes.	這些畫的尺寸不一樣。
14087	I need to go to the bathroom.	我要上厕所。
1804	It's about time we went to bed.	差不多是我們就寢的時間了。
19014	He was not at all satisfied.	他完全不滿意。
25379	The students are all at their desks now.	学生们现在都坐在桌前。
13473	She was obliged to marry the old man.	她不得不和这个老男人结婚。
25283	As long as you keep quiet, you can stay here.	只要你保持安靜, 你可以留在這裡。
3489	I'm working in Boston now.	我現在在波士頓工作。
7103	I don't want to swim.	我不想游泳。
3798	Tom is a very good tennis player.	湯姆是一個非常好的網球選手。
15632	He lost his balance and fell off his bicycle.	他失去了平衡，从自行车上摔了下来。
15631	It wasn't as expensive as I expected.	它沒有我想像的那麼貴。
25171	Tom asked if I'd found my key.	湯姆問我找到我的鑰匙了吗。
4204	I need my boots.	我需要我的靴子。
18828	He had barely enough to eat.	他仅有够糊口的吃的。
28656	I'll lend you my textbook.	我會借給你我的課本。
28246	She is a native speaker of French.	她的母語是法語。
25332	He runs a supermarket in the town.	他在這個鎮上經營一家超級市場。
21088	I'm going to see a horror film.	我要去看恐怖電影。
23398	I don't want to look stupid.	我不想看起來傻。
27218	I had a little fever this morning.	今天上午我有一點兒發燒。
16703	Prices have been climbing steadily.	價格一直在穩定地攀升。
13288	Is it necessary for me to explain the reason to him?	我有必要向他解释原因吗？
14748	Would you like some coffee?	你要喝咖啡吗？
2300	Could you help me translate this into French?	你能帮我把这译成法语吗？
24389	How did you arrive at this conclusion?	你们怎么得出这个结论的？
20104	Let's go for a walk after it stops raining.	等雨停了，我们去散步吧。
26528	You're the only one who can protect them.	只有你能保护他们。
29117	To my astonishment, my money was gone.	令我惊讶的是，我的钱没了。
4707	A few minutes later, the telephone rang.	几分钟后，电话响了。
7736	He leaves for school at seven.	他七點鐘去學校。
12880	I had a good opinion of her.	我對她的評價很好。
19885	Tom told Mary that she was right.	汤姆告诉玛丽她是对的。
11260	I'm a waiter.	我是服务生。
5112	I wish she had come last night.	要是她昨晚來就好了。
1014	Are your hands clean?	你的手乾淨嗎?
18893	Where do you want to go?	你們要去哪裡？
20306	Will you lend me your bicycle?	你能把你的自行车借给我吗？
10355	Nobody knows why he turns down my help.	沒有人知道他為何拒絕我幫忙。
7070	My mother did nothing but weep.	我的母亲只是默默地哭泣。
24085	It is high time you were in bed.	你早该睡了。
21530	What do you want me to do, Tom?	你想讓我做甚麼，湯姆？
5197	Use it or lose it.	使用它或失去它。
2494	My brother bought an electric guitar.	我的兄弟買了電子吉他。
12805	Put it on one bill, please.	請記在一張帳單上。
10054	The baby seemed to be fast asleep.	那個嬰兒似乎在熟睡中。
22737	I'm going to school.	我去学校了。
11389	My income has decreased ten percent.	我的收入減少了百分之十。
28750	He is married to an American lady.	他和一个美国女人结婚了。
15853	What did you have for lunch?	你午饭吃的什么？
4118	Do you trust her?	你相信她嗎?
22132	I have a lot of sheep.	我有很多綿羊。
28315	Both my parents are at home now.	我父母現在都在家。
21809	She doesn't know how to play golf.	她不知道怎麼打高爾夫球。
5642	I'll never forget what you told me.	我將永遠不會忘記你告訴過我的話。
5684	He swims better than I do.	他游泳游得比我好。
27169	I think I left my wallet at home.	我想我把錢包放家裡了。
15481	The ceremony began with his speech.	仪式以他的讲话开始。
1869	Tom still doesn't know the truth.	汤姆还是不知道真相。
20219	What was it that you gave him?	你给了他什么？
1908	We're confident of victory.	我們有信心獲勝。
22266	I'd like something to eat.	我想吃点东西。
1594	I prefer apples to oranges.	相对于橙子，我更喜欢苹果。
6830	Many young people in Japan eat bread for breakfast.	許多日本的年輕人吃麵包當作早餐。
19982	Tom didn't write Mary back.	汤姆没回复玛丽。
1360	I need to complete it as soon as possible.	我需要尽快完成。
21374	He will be my deputy while I am away.	我不在的时候，他将是我的代理人。
8496	I'll still have a scar from that accident.	我还留着那起事故的伤疤。
27682	She didn't have any pencils.	她一支铅笔也没有。
17423	Apples were served as the dessert.	蘋果被用來當作甜點。
26197	He is not as intelligent as his brother.	他沒有他弟弟聰明。
9394	This is a crucial point.	这是一个关键点。
25156	We're used to staying up late.	我们习惯熬夜。
11105	The woman glared at us.	女人瞪了我們。
28879	Thanks for returning my call.	感謝您的回電。
21215	Tom can't drive a bus.	湯姆不能開巴士。
5586	She went for a walk.	她去散步了。
9103	Tom was never happy.	湯姆從不高興。
25821	He failed to pass his driving test.	他沒有通過他的駕駛考試。
15052	I'm proud of my son.	我为我儿子感到骄傲。
21931	This kind of plant grows only in the tropical regions.	這類植物只生長在熱帶地區。
16870	I was wondering if you were going to show up today.	我在想你今天会不会来。
24689	Isn't this weather just great!	天氣真是太好了！
5144	You should have seen it.	您本應該看看它的。
11719	I've had a bath.	我洗了澡。
23548	Love is like oxygen.	爱就像氧气。
23818	The doctor tried every possible means to save his patient.	为抢救病人医生已尽力了。
1269	He comes back from Sydney today.	他今天從雪梨回來。
27861	I don't like what he said.	我不喜歡他說的話。
20344	This place gives me a really bad vibe.	这地方给我一个很差的印象。
7738	I've changed my website's layout.	我改了一下我网站的版面设计。
23733	Tom played the violin.	汤姆拉小提琴。
28125	You haven't changed at all.	你一点都没变。
1128	Even a teacher can make mistakes.	老师也会犯错。
27389	It's all the same to me.	对我来说都一样。
24662	The baby tore up a ten-dollar bill.	這個小嬰孩撕掉了一張十美元的鈔票。
22367	I thanked Mary for her help.	我对玛丽的帮助表示了感谢。
10955	What you're saying makes no sense.	你說的話沒有道理。
9527	He's always worrying about his daughter.	他一直很担心他的女儿。
28406	I went there because I wanted to.	我去了那裡，因為我想去。
1831	Don't rush into marriage.	不要急著結婚。
5281	Your room is big.	您的房间很大。
22120	He's not home.	他不在家。
5406	My father is far from artistic.	我父親一點也不懂藝術。
16443	Don't come into my room.	别进我的房间。
11191	I'm absolutely elated.	我真是欣喜若狂。
1423	The building has 20 floors.	大楼有20层。
17256	How much money does he make a month?	他每个月挣多少？
13596	My heart's beating so fast!	我的心跳得那么快！
307	Get me some towels from the bathroom.	给我从浴室拿几条毛巾来。
1729	Life without love has no meaning.	没有爱的人生没有意义。
8346	I want you to be prepared.	我想讓你準備好。
22454	Bring the water to a boil.	把水燒開。
13991	Give me my beer.	把我的啤酒給我。
28097	I've lost my umbrella.	我丢了我的伞。
