	eng	fra
40775	Where are the dishes?	Où est la vaisselle ?
33978	Have you met him yet?	L'avez-vous déjà rencontré ?
48809	I've been there once.	J'y ai été une fois.
49828	It was light enough.	Il faisait suffisamment jour.
3787	I didn't understand.	Je n'ai pas compris.
28674	I'd like to stand.	J'aimerais me porter candidat.
3579	You did well, Tom.	Vous avez bien fait, Tom.
3061	The maid made my bed.	La femme de ménage fit mon lit.
10265	The door won't close.	La porte ne se fermera pas.
37172	Get rid of her.	Débarrassez-vous d'elle !
37884	He opened the cages.	Il a ouvert les cages.
906	Have you seen my son?	Avez-vous vu mon fils ?
47081	It's my job.	C'est mon métier.
12535	I'll just leave.	Je vais juste partir.
43164	Can I come in now?	Je peux entrer maintenant ?
16605	The sky is clear.	Le ciel est dégagé.
33429	He has a beard.	Il porte une barbe.
24450	I like your shoes.	J'aime tes chaussures.
17605	I'm old enough.	Je suis suffisamment grand.
14905	I'll be in the attic.	Je serai dans le grenier.
26469	Mom is now in heaven.	Maman est maintenant au ciel.
12748	We can solve this.	Nous pouvons résoudre ceci.
29037	We had no secrets.	Nous n'avions pas de secrets.
21214	We're watching TV.	Nous regardons la télévision.
45996	I don't like eggs.	Je n'aime pas les œufs.
34443	My father works here.	Mon père travaille ici.
1584	I know Tom very well.	Je connais très bien Tom.
20712	They let me go.	Elles m'ont laissé partir.
49327	Have you sold it yet?	L'as-tu déjà vendue ?
47071	Do you have a map?	Est-ce que vous avez une carte ?
43440	Our house is yours.	Notre maison est la vôtre.
5077	I'll go first.	Je passerai en premier.
43510	He drew a deep breath.	Il prit une profonde inspiration.
29184	Get out of this room.	Hors de cette chambre.
3137	I'm not comfortable.	Je ne suis pas à l'aise.
6763	We were both hungry.	Nous avions tous les deux faim.
47713	I had a late lunch.	J'ai pris un déjeuner tardif.
45170	I chose the colors.	J'ai choisi les couleurs.
970	Don't be a sore loser.	Ne sois pas mauvais perdant.
38307	I do it once a year.	Je le fais une fois par an.
12715	You're very curious.	Vous êtes très curieux.
1827	I'm not ugly.	Je ne suis pas laid.
15184	This desk is good.	Ce bureau est bien.
9684	We hugged each other.	Nous nous sommes embrassées.
19350	I'll give it a try.	Je ferai un essai.
18734	I left in a hurry.	Je suis parti à la hâte.
48308	She's a real hottie.	Elle est vraiment une fille ravissante.
31785	I'm feeling low.	Je me sens abattue.
37988	How is your daughter?	Comment se porte ta fille ?
20511	He asked for help.	Il a demandé de l'aide.
43639	What's this called?	Comment nomme-t-on cela ?
28836	I have lots of ideas.	J'ai plein d'idées.
42213	I'm a bit tipsy.	Je suis un peu éméché.
30227	It's not just a game.	Ce n'est pas qu'un jeu.
1339	Which car is yours?	Quelle voiture est la vôtre ?
24117	My boat is small.	Mon bateau est petit.
49981	What's your beef?	C'est quoi ton problème ?
23286	How are you connected?	Comment êtes-vous raccordé ?
31071	We're not prisoners.	Nous ne sommes pas prisonniers.
9929	It's one of mine.	C'est l'une des miennes.
3632	A car hit Tom.	Tom a été renversé par une voiture.
25390	I wanted to laugh.	J'ai voulu rire.
5521	I twisted my ankle.	Je me suis foulé la cheville.
1940	Give me a toothpick.	Donnez-moi un cure-dent.
19012	My arm still hurts.	Mon bras me fait encore mal.
16401	Did you leave a tip?	Tu as laissé un pourboire ?
2827	It's not a gift.	Ce n'est pas un cadeau.
14706	Don't count on them.	Ne comptez pas sur eux.
1921	Your lips are blue.	Vos lèvres sont bleues.
15135	Keep an eye on him.	Garde l'œil sur lui !
34755	Aren't they adorable?	Ne sont-elles pas adorables ?
18493	I'm taller than you.	Je suis plus grand que toi.
46094	I learned it by heart.	Je l'ai appris par cœur.
46158	Let's go into town.	Rendons-nous en ville !
28204	Can you light the way?	Peux-tu éclairer le passage ?
37545	Knock on the door.	Frappe à la porte !
17199	Tom won't give in.	Thomas ne cédera pas.
17586	I'm sorry I hurt you.	Je suis désolée de t'avoir blessé.
34930	I played the flute.	J'ai joué de la flûte.
19035	Be nice to others.	Sois gentil avec les autres !
46796	I made a bad decision.	J'ai pris une mauvaise décision.
10888	He hopes to go abroad.	Il espère aller à l'étranger.
30871	Can you beat that?	Peux-tu battre ça ?
1314	You can't blame me.	Tu ne peux pas me faire reproche.
43651	I am paid weekly.	Je suis payée à la semaine.
12217	Am I on that list?	Suis-je sur cette liste ?
41336	Do you have a ruler?	Vous avez une règle ?
36119	I'll pray for you.	Je prierai pour toi.
28350	He was very fun.	Il était très amusant.
31161	The kids are scared.	Les enfants ont peur.
39208	He is always with me.	Il est toujours avec moi.
22689	These are our books.	Ce sont nos livres.
29282	How did they find out?	Comment l'ont-ils découvert ?
13374	This isn't so bad.	Ce n'est pas si mal que ça.
30539	Do you like dogs?	Aimes-tu les chiens ?
14398	I hope you don't mind.	J'espère que ça ne vous ennuie pas.
32947	No one knows that.	Personne ne sait cela.
25681	I want him to leave.	Je veux que lui parte.
38515	I want to see it.	Je veux le voir.
31034	It's very sticky.	C'est très embarrassant.
18864	There are no spoons.	Il n'y a pas de cuillères.
48032	I can't remember.	Je n'arrive pas à me souvenir.
27600	Stay away from that.	Reste loin de ça.
40026	Did we wake you up?	Est-ce qu'on t'a réveillé ?
49255	I'd help if I could.	J'aiderais, si c'était en mon pouvoir.
41819	I'm not so old.	Je ne suis pas si vieux.
37335	There are books here.	Il y a des livres ici.
18035	What I did was wrong.	Ce que j'ai fait était incorrect.
2045	We aren't alone.	Nous ne sommes pas seuls.
9255	I made many mistakes.	J'ai commis de nombreuses erreurs.
43195	I met her by accident.	Je l'ai rencontrée accidentellement.
38409	You touched my heart.	Vous m'avez touché au cœur.
49287	You let me down.	Vous m'avez déçu.
42219	You have to hurry up.	Il faut se dépêcher.
41973	I know your type.	Je connais votre genre.
8677	She didn't show up.	Elle ne se montra pas.
48034	Tom lost his wallet.	Tom a perdu son porte-monnaie.
29704	I'm not asleep.	Je ne suis pas endormie.
28446	Do you eat fish?	Manges-tu du poisson ?
21515	Now it's my turn.	C'est mon tour maintenant.
40712	It isn't that bad.	Ce n'est pas si mal.
13094	We have a problem.	Nous avons un problème.
44910	I'll do it with you.	Je le ferai avec toi.
16481	She's a quiet person.	Elle est d'un naturel calme.
34958	I hate you both.	Je vous déteste tous les deux.
41773	I have plenty of time.	J'ai tout mon temps devant moi.
42507	I won't get involved.	Je ne vais pas m'impliquer.
4398	Don't leave me behind!	Ne me laissez pas en arrière !
45457	I feel bad about that.	Je me sens mal à ce sujet.
23532	It was too long.	C'était trop long.
47476	How stupid of me!	Comme c'est bête de ma part !
10406	I want another beer.	Je veux une autre bière.
40134	He should thank me.	Il devrait me remercier.
36999	Get out of my bed.	Dégagez de mon lit !
23929	We live in Boston.	Nous vivons à Boston.
41566	We can win this war.	Nous pouvons gagner cette guerre.
10544	Tom doesn't know.	Tom ne sait pas.
27289	I can't feel it.	Je ne le sens pas.
36024	She did it easily.	Elle le fit facilement.
7699	No one will stop you.	Personne ne t'arrêtera.
2430	I'm digging a hole.	Je creuse un trou.
23087	That's really great.	C'est vraiment super.
41088	I know Tom is groggy.	Je sais que Tom a la tête dans le cirage.
45766	Don't you like fish?	Tu n'aimes pas le poisson ?
35368	Where are my bags?	Où sont mes valises ?
30088	I need the keys.	Il me faut les clefs.
33891	I heard the good news.	J'ai entendu la bonne nouvelle.
24708	I agree with you 100%.	Je suis à cent pour cent d’accord avec toi.
9687	You have to see it.	Il faut que tu le voies.
37288	He called me a taxi.	Il m'appela un taxi.
5492	I feel bad for her.	Je suis désolée pour elle.
8685	I plan on winning.	Je prévois de gagner.
16340	Did you buy juice?	As-tu acheté du jus ?
44528	You can rely on him.	Tu peux lui faire confiance.
49350	He kept quite calm.	Il est resté tout à fait calme.
18675	I paid my bills.	J'ai réglé mes factures.
16000	You're still alive.	Vous êtes toujours vivantes.
26434	We're not buying.	Nous ne sommes pas en train d'acheter.
32719	I know you did that.	Je sais que vous l'avez fait.
13880	I didn't steal it.	Je ne l'ai pas volé.
25428	I was just unlucky.	J'étais juste malchanceuse.
37613	You're very talented.	Tu es très talentueux.
23357	I wish you good luck.	Je vous souhaite bonne chance.
37778	He died from overwork.	Il est mort du fait du surmenage.
39626	He grabbed my arm.	Il a saisi mon bras.
26305	You've risked enough.	Vous avez pris suffisamment de risques.
38575	This video is boring.	Cette vidéo est ennuyeuse.
23720	You're off the hook.	Vous êtes tirée d'affaire.
47370	It's 99.9% effective.	C'est efficace à quatre-vingt-dix-neuf virgule neuf pour cent.
40967	He never told anyone.	Il ne l'a jamais dit à quiconque.
22000	Tom claims he won.	Tom prétend qu'il a gagné.
44143	Who made this pie?	Qui a fait cette tarte ?
35065	I'm not a beggar.	Je ne suis pas un mendiant.
5729	You don't need me.	Tu n'as pas besoin de moi.
15887	I ate potato chips.	J'ai mangé des chips.
15700	You won't be shot.	Vous ne serez pas fusillées.
18125	Tom played the piano.	Tom a joué du piano.
4033	Was there a scandal?	Y a-t-il eu un scandale ?
8141	I need some water.	J'ai besoin d'eau.
1016	He's a filthy liar.	C'est un sale menteur !
28275	Have a nice day.	Passe une bonne journée !
2461	We rarely eat out.	Nous mangeons rarement dehors.
12616	My father is tall.	Mon père est grand.
38013	Can I do this later?	Puis-je le faire plus tard ?
36387	I had loads of fun.	Je me suis bien marrée.
8502	No pain, no gain.	On n'a rien sans rien.
34319	I spilled my drink.	J'ai renversé mon verre.
34177	Give me more money.	Donne-moi plus d'argent.
29518	I know sign language.	Je connais la langue des signes.
46366	We all have choices.	Nous avons tous le choix.
34936	I made a few changes.	J'ai effectué quelques modifications.
4506	It's not a holiday.	Ce n'est pas un jour de congé.
1328	We're not going.	Nous n'y allons pas.
22571	Do you use kratom?	Prends-tu du kratom ?
4266	You're so gullible.	Tu es tellement crédule.
25907	I'll give it to you.	Je vous le donnerai.
20245	I felt like an idiot.	Je me sentis idiot.
903	OK. I agree.	Bien. Je suis d’accord.
30918	I had a vision.	J'ai eu une vision.
40014	You need to see this.	Il faut que tu voies ça.
11204	I want to buy a book.	Je veux acheter un livre.
37145	I don't feel so smart.	Je ne me sens pas si intelligente.
5722	Do you have a ticket?	Avez-vous un billet ?
7842	Should we be worried?	Devrions-nous être inquiètes ?
44185	I won't do anything.	Je ne ferai rien.
13004	I don't like hot tubs.	Je n'aime pas les jacuzzis.
1097	It's a gray horse.	C'est un cheval gris.
39639	I know you feel bad.	Je sais que vous vous sentez mal.
8470	This is how I did it.	Voilà comment j'ai fait.
27550	Don't drink the water.	Ne buvez pas l'eau.
36749	I like you very much.	Je t'aime beaucoup.
49241	We don't need you.	Nous n'avons pas besoin de vous.
13359	No one else knows it.	Personne d'autre ne le sait.
15354	Don't make me do it.	Ne m'oblige pas à le faire.
11143	Can he see me?	Peut-il me voir ?
8392	You'd better go now.	Vous feriez mieux d'y aller maintenant.
30690	Stay a little longer.	Reste encore un peu.
34953	I have no savings.	Je ne dispose pas d'économies.
21017	Tom wears silk ties.	Tom porte des cravates de soie.
41514	I did a lot today.	J'ai beaucoup fait, aujourd'hui.
36681	He admitted his guilt.	Il reconnut sa culpabilité.
25843	He may be a genius.	C'est peut-être un génie.
14378	You are a woman.	Tu es une femme.
2701	We're very busy.	Nous sommes très occupés.
6217	I just cleaned this.	Je viens de nettoyer ceci.
16404	You are so stupid.	Tu es tellement idiot !
14139	I can swim fast.	Je sais nager rapidement.
1472	He has a sharp tongue.	Il a une langue de vipère.
34847	I'm just tired.	Je suis simplement fatiguée.
31671	How's everyone doing?	Comment va tout le monde ?
17100	Is this your dog?	Est-ce là ton chien ?
37539	Who made the doll?	Qui a fabriqué la poupée ?
47293	What's today's date?	Le quantième sommes-nous ?
2626	A horse is an animal.	Un cheval est un animal.
32589	You touched my heart.	Tu m'as touchée au cœur.
19714	Isn't it nice?	N'est-ce pas gentil ?
46381	I have to fight.	Je dois me battre.
7925	Are you happy here?	Es-tu heureux ici ?
417	Is this your bike?	Est-ce votre vélo ?
28032	He has too much pride.	Il a trop de fierté.
9040	That's a good reason.	C'est une bonne raison.
18338	He is not what he was.	Il n'est plus ce qu'il était.
17794	I'll allow you to go.	Je vous permettrai d'y aller.
24202	No one ate the cake.	Personne ne mangea le gâteau.
12095	What does she have?	Qu'est-ce qu'elle a ?
23150	What are these for?	À quoi servent ceux-ci ?
30098	You're a funny girl.	T'es une fille marrante.
2998	Tom got the part.	Tom a obtenu le rôle.
7926	He never touched wine.	Il ne buvait jamais de vin.
4877	Every dog has his day.	Chaque chien a son jour.
13423	I know those girls.	Je connais ces filles.
27741	Ask Tom to explain it.	Demandez à Tom de l'expliquer.
19366	They have no choice.	Ils n'ont pas le choix.
39861	I need medical help.	J'ai besoin de voir quelqu'un dans la salle des urgences.
26661	I had a seizure.	J’ai eu une crise d’épilepsie.
42699	It was a relief.	C'était un soulagement.
22795	That's not uncommon.	Ce n'est pas inhabituel.
24198	I'm a nice guy.	Je suis quelqu'un de bien.
15625	You're safe with us.	Vous êtes en sécurité avec nous.
6889	What on earth is it?	Qu'est-ce que c'est que ça, Bon Dieu ?
44208	Where do we go now?	Où allons-nous maintenant ?
36047	She held up her head.	Elle dressa la tête.
46487	He was sitting there.	Il s'asseyait là.
35812	She didn't like him.	Elle ne l'aimait pas.
33862	I made a couple calls.	J'ai passé quelques coups de fil.
41734	Who is this guy?	Qui est ce type ?
27313	I hate that book.	Je déteste ce livre.
41367	The door was locked.	La porte était verrouillée.
41433	What's for dessert?	Quel est le dessert ?
37026	I met him about noon.	Je l'ai rencontré vers midi.
14605	You look very tired.	Vous avez l'air très fatigué.
38096	Please shut the door.	Ferme la porte, je te prie.
10364	Tom has to act now.	Tom doit agir dès maintenant.
16908	Is there any sugar?	Y a-t-il du sucre ?
27247	Act like a man.	Conduis-toi en homme !
28362	I'll beat you up!	Je vais te cogner !
9356	Let Tom do his job.	Laissez Tom faire son travail.
6504	Can you keep a secret?	Peux-tu garder un secret ?
35660	Tom isn't a bad boy.	Tom n'est pas un mauvais garçon.
45311	You are a prude.	Tu es une puritaine.
47514	Don't lie. Be honest.	Ne mentez pas. Soyez honnête !
26766	He's under the chair.	Il est sous la chaise.
32503	This is way better.	C'est bien mieux.
2844	I'm not a saint.	Je ne suis pas une sainte.
38392	We all have fun.	Nous nous amusons toutes.
42419	What is your idea?	Quelle est votre idée ?
8500	It's rather unique.	C'est plutôt unique.
38268	The baby is crawling.	Le bébé est en train de marcher à quatre pattes.
15106	Tell us what to do.	Dis-nous quoi faire.
37207	We know all this.	Nous savons tout cela.
8723	I hope that helps.	J'espère que cela aide.
34699	How was your summer?	Comment s'est passé votre été ?
19156	Where's the bakery?	Où est la boulangerie ?
16456	I was born in 1972.	Je suis né en mille neuf cent soixante-douze.
38932	Let me handle this.	Laisse-moi régler ça.
17554	Who can you trust?	À qui se fier ?
42453	Do you need help?	As-tu besoin d'aide ?
26293	I can ask Tom to help.	Je peux demander à Tom d'aider.
9158	No one asked you.	Personne ne vous l'a demandé.
20750	Is he nice to her?	Est-il sympa avec elle ?
22501	I liked your friends.	J'appréciai vos amies.
48962	I want you to die.	Je veux que vous mouriez.
24661	I work at a zoo.	Je travaille dans un zoo.
22470	I'm really busy.	Je suis vraiment occupé.
11910	He went by bicycle.	Il y est allé en bicyclette.
17979	He has a Picasso.	Il a un tableau de Picasso.
31703	I love the food here.	J'adore la nourriture, ici.
4159	I forgot about that.	J'ai oublié ça.
49831	Give me the ball.	Donnez-moi le ballon !
15723	You're the master.	Tu es la maîtresse.
34491	What have we got?	Qu'avons-nous obtenu ?
27316	This law is absurd.	Cette loi est absurde.
8045	We have to pay taxes.	Nous devons payer des impôts.
26276	They're all bad.	Ils sont tous mauvais.
18748	Shake hands with Tom.	Serre la main de Tom.
38242	I can't feel it.	Je ne le perçois pas.
9861	That explains a lot.	Ça explique beaucoup de choses.
16090	That isn't my call.	La décision ne m'appartient pas.
9283	What is the number?	Quel est le numéro ?
21070	This isn't funny.	Ce n'est pas drôle !
9611	Clothes make the man.	L'habit fait l'homme.
23235	We chartered a bus.	Nous avons affrété un car.
5234	That's a book.	C'est un livre.
17632	Why do you ignore me?	Pourquoi tu m'ignores ?
2783	I didn't say anything.	Je n'ai rien dit.
44828	We aren't related.	Nous ne sommes pas apparentées.
46191	Do I have to pay you?	Dois-je te payer ?
33939	I'm very happy now.	Je suis très heureuse maintenant.
16332	We'll pay for it.	Nous payerons pour ça.
40264	He took out one egg.	Il a sorti un œuf.
9765	Tom joined the army.	Tom a rejoint l'armée.
19073	Tom is alone, too.	Tom est également tout seul.
25795	I know about that.	Je suis au courant de ça.
6733	He pulled my shirt.	Il a tiré ma chemise.
37212	I could kill you now.	Je pourrais te tuer, maintenant.
27463	Can you find out?	Peux-tu te renseigner ?
17784	I didn't tell anybody.	Je ne l'ai dit à personne.
7542	Speak louder, please.	Parlez plus fort, s'il vous plait.
33125	The fish smells bad.	Le poisson sent mauvais.
33564	He is a bad person.	C'est une mauvaise personne.
49494	Are you still in love?	Es-tu encore amoureuse ?
48386	I expect him to come.	J'attends qu'il vienne.
44050	Which dog is yours?	Lequel est votre chien ?
20123	You need a new hat.	Il te faut un nouveau chapeau.
48442	I hate my sister.	Je déteste ma sœur.
5510	Show me your watch.	Montre-moi ta montre.
26392	Are those for me?	Celles-là sont-elles pour moi ?
26396	I miss you already.	Tu me manques déjà.
26012	I like all my classes.	J'apprécie tous mes cours.
46380	Please write it down.	Veuillez en prendre note.
2910	I want to please you.	Je veux te faire plaisir.
35390	You're in charge now.	Vous êtes aux commandes maintenant.
25478	They love their kids.	Ils adorent leurs enfants.
3955	He is watching TV now.	Maintenant il regarde la télé.
43977	I'll handle this.	Je m'en chargerai.
25520	We can always try.	On peut toujours essayer.
46874	I did try to warn you.	J'ai bien essayé de vous prévenir.
48767	You're very helpful.	Tu es fort serviable.
3329	Is anyone else going?	Quelqu'un d'autre vient-il ?
19089	I've done that.	J'ai fait ça.
40569	We'll find a way.	On trouvera un moyen.
34411	My arm still hurts.	Mon bras me fait encore souffrir.
28705	I'm just tired.	Je suis seulement fatigué.
8532	I wasn't satisfied.	Je n'étais pas satisfait.
11366	Have you betrayed me?	M'avez-vous trahi ?
48300	I'll need your help.	J'aurai besoin de ton aide.
44150	Who sent you here?	Qui vous a envoyés ici ?
45896	She goes to school.	Elle va à l'école.
42138	I caught a cold.	Je contractai un rhume.
39358	I'm not jealous.	Je ne suis pas jalouse.
43369	You have a point.	Vous avez probablement raison.
48437	Here is your bag.	Ton sac est ici.
12328	We have to try this.	Nous devons essayer ça.
36375	She has lost weight.	Elle a perdu du poids.
21771	Can I get a beer?	Puis-je avoir une bière ?
20376	Have a good day.	Passez une bonne journée.
33716	I don't believe that.	Je ne crois pas ça.
27192	I need a map.	J'ai besoin d'un plan.
12012	It was a coincidence.	Ce fut une coïncidence.
19048	I'll keep it warm.	Je le garderai au chaud.
32152	No one likes to lose.	Personne n'aime perdre.
36233	This isn't silver.	Ce n'est pas de l'argent.
25608	I did that today.	J'ai fait ça aujourd'hui.
20811	I think I broke it.	Je pense que je l'ai cassé.
11683	We spoke in the car.	Nous avons discuté dans la voiture.
30872	Did anyone miss me?	Ai-je manqué à quiconque ?
1807	Are you sure of it?	En êtes-vous sûrs ?
6352	The door was closed.	La porte était fermée.
3327	I won't give up.	Je n'abandonnerai pas.
13660	Can I be honest?	Puis-je être honnête ?
44470	I have a dry cough.	J'ai une toux sèche.
3654	We're all at risk.	Nous sommes toutes en danger.
3133	He's not going.	Il ne s'en va pas.
49921	He came to my rescue.	Il est venu à mon secours.
23544	I'm pretty busy here.	Je suis plutôt occupée ici.
21040	I fired the gun.	Je fis détoner l'arme.
12446	You're a lucky girl.	Tu es une fille chanceuse.
48336	Give me back my hat.	Rends-moi mon chapeau.
31384	I'm here to save you.	Je suis là pour vous sauver.
43256	I'd say you did well.	Je dirais que vous vous en êtes bien sorties.
37073	Which car is ours?	Quelle voiture est la nôtre ?
49478	Do you wear glasses?	Portez-vous des lunettes ?
26747	Baby animals are cute.	Les bébés animaux sont mignons.
40404	Are you almost ready?	Êtes-vous bientôt prêts ?
16948	Let me rephrase it.	Permettez-moi de le reformuler.
32636	Can you hear us?	Parvenez-vous à nous entendre ?
2981	Get in the boat.	Grimpe dans le bateau !
35785	I'm heading home.	Je prends le chemin de la maison.
28407	Leave the door open.	Laisse la porte ouverte.
20606	She raised her hands.	Elle leva les mains.
45649	I never wanted that.	Je n'ai jamais voulu ça.
6031	I have a small fever.	J'ai un petit peu de fièvre.
45637	Tom's hands trembled.	Les mains de Tom tremblaient.
9059	I meant no disrespect.	Je ne voulais pas vous manquer de respect.
4056	I'm not joking.	Je ne plaisante pas.
14194	I'll risk that.	Je tenterai le coup.
18357	It's way too heavy.	C'est bien trop lourd.
9049	Let me grab my bag.	Laisse-moi attraper mon sac !
16421	Why haven't we begun?	Pourquoi n'avons-nous pas commencé ?
18428	You can park here.	Tu peux te garer ici.
44097	She's gone on a trip.	Elle est partie en voyage.
4189	Tom peeled the apple.	Tom a épluché la pomme.
1707	I saw you snickering.	Je vous ai vus pouffer.
13915	Tom can't win.	Tom ne peux pas gagner.
37757	Have you gone crazy?	Tu as perdu la tête ?
49219	I fix broken radios.	Je répare les radios cassées.
10578	It can't be!	C'est pas possible !
30164	I'm all yours.	Je suis toute à vous.
7113	I work on Sunday.	Je travaille le dimanche.
47732	The door blew open.	La porte s'ouvrit d'un souffle.
49880	We're not going.	Nous ne nous y rendons pas.
40738	Where can they be?	Où peuvent-elles être ?
10869	Let's sing a song.	Allez, chantons une chanson !
16238	Just do what I say.	Faites juste ce que je dis !
1906	We obey the rules.	Nous obéissons aux règles.
34232	I'm busy, too.	Je suis également affairé.
45310	This is on sale.	C'est en promo.
20375	He came by bus.	Il est venu en bus.
13461	He's a married man.	C'est un homme marié.
13324	Wow! What a big box!	Ouf ! Quelle grosse boîte !
20787	He is still alive.	Il est encore vivant.
17949	We're not fit.	Nous ne sommes pas en forme.
32111	It rained for days.	Il a plu pendant des jours.
3880	Does Tom want to rest?	Tom veut-il se reposer ?
40614	Where's the restroom?	Où sont les toilettes ?
42458	I have friends here.	J'ai des amis ici.
46552	I don't see how.	Je ne vois pas de quelle manière.
44753	That was just a joke.	C'était juste une blague.
30146	Tom should be fired.	Tom devrait être licencié.
21559	You're not fired.	Vous n'êtes pas virée.
17973	When did you buy it?	Quand en avez-vous fait l'acquisition ?
7202	That helps us a lot.	Ça nous aide beaucoup.
35781	It's really awesome.	C'est vraiment génial.
28940	Watch how I do it.	Regardez comment je le fais !
40244	She may have said so.	Il se peut qu'elle l'ait dit.
41582	You're a funny guy.	Vous êtes un drôle de zozo.
896	They all have kids.	Ils ont tous des gosses.
30027	Are your hands clean?	Vos mains sont-elles propres ?
11812	She is out now.	Elle est en déplacement en ce moment.
49091	Tell me the truth.	Dites-moi la vérité.
23088	It's cloudy today.	C'est nuageux aujourd'hui.
10589	Is this place safe?	Cet endroit est-il sûr ?
9316	I really wasn't sure.	Je n'en étais pas vraiment sûre.
29750	Dogs often bury bones.	Les chiens enterrent souvent des os.
36256	Do you realize that?	En prenez-vous conscience ?
48351	Hey, what's going on?	Eh, qu'est-ce qu'il se passe ?
30504	This is a picture.	Ceci est un tableau.
26195	You're off the hook.	Tu es tirée d'affaire.
19389	We can't allow this.	Nous ne pouvons autoriser cela.
30397	Who ate the bread?	Qui a mangé le pain ?
27804	You're all happy.	Vous êtes tous heureux.
8822	It was just stupid.	C'était juste stupide.
30304	Just who are you?	Qui êtes-vous, exactement ?
23468	We can work on it.	Nous pouvons y travailler.
11040	You need to move on.	Il te faut passer à autre chose.
42683	I'm totally confused.	Je suis complètement embrouillée.
5882	I broke the law.	J'ai enfreint la loi.
4611	Do I look dead to you?	Ai-je l'air morte, selon vous ?
28683	I said good night.	J'ai dit bonne nuit.
39694	It's not safe here.	On n'est pas en sécurité, ici.
10565	We should be friends.	Nous devrions être amies.
6006	Tom, don't die.	Ne meurs pas, Tom.
1417	We had to stop.	Il fallait que nous arrêtions.
31964	The pizza is cold.	La pizza est froide.
15353	I don't feel well.	Je ne me sens pas bien.
23869	Isn't she beautiful?	N'est-elle pas belle ?
49258	Who built this place?	Qui a construit cet endroit ?
49995	These pens are his.	Ces stylos sont à lui.
49538	I hate that idea.	Je déteste cette idée.
11342	I'll be in touch.	Je resterai en contact.
47869	He lost his new watch.	Il a perdu sa nouvelle montre.
32339	I am afraid of dying.	J'ai peur de mourir.
32680	A nurse wears white.	Une infirmière s'habille en blanc.
27580	This is a great day.	C'est un grand jour.
26137	I led that mission.	J'ai pris la tête de cette mission.
43232	I'll have another.	J'en prendrai une autre.
32038	We all have flaws.	Nous avons toutes des défauts.
24293	We're not sure.	Nous ne sommes pas sûres.
40837	I'm not a kid.	Je ne suis pas un gamin.
49103	Did you read it all?	L'as-tu lu en entier ?
